dataset,seed,method,region,n_points,mean_rmse,gaussian_nll,gaussian_crps,calibration_mae,coverage_68,coverage_95,mean_95_interval_width,mean_total_sd,training_time_seconds,inference_time_seconds,trained_networks,inference_networks,beta,exact_mixture_nll,mean_aleatoric_sd,mean_epistemic_sd,sigma_rmse,ood_id_total_sd_ratio,ood_id_epistemic_sd_ratio
cubic,42,Deep Ensembles,ID,286,1.3255595642002738,2.6510221580283795,1.8834024159629479,0.06348914243651085,0.5944055944055944,0.8986013986013986,10.965136543203313,2.7972800731658936,3.190320875000907,0.0007999319660787781,5,5,,2.6612200407335753,2.733750820159912,0.46829161047935486,,2.7628141417070307,12.320132952686645
cubic,42,Deep Ensembles,OOD,214,99.48133286908964,62.78580658007536,75.81140467760224,0.48376783079193314,0.02336448598130841,0.07476635514018691,30.29463212795056,7.728364944458008,3.190320875000907,0.0007999319660787781,5,5,,78.1554620814199,5.044595241546631,5.769414901733398,,2.7628141417070307,12.320132952686645
cubic,42,Deep Ensembles,Full,500,65.09010906531236,28.388709890664483,33.524587383944564,0.24336842105263157,0.35,0.546,19.238160653475138,4.907784461975098,3.190320875000907,0.0007999319660787781,5,5,,34.972755634147326,3.722792148590088,2.7371721267700195,,2.7628141417070307,12.320132952686645
cubic,42,ACCRUE,ID,286,1.3636199234867306,3.2263277583792798,2.0038385583959797,0.05042326094957672,0.6398601398601399,0.8146853146853147,12.179815357076484,3.1071529388427734,1.1035926670010667,0.00019935140056380382,2,2,0.8835238814353943,,,,,0.260366822729664,
cubic,42,ACCRUE,OOD,214,104.92672386960027,19135.10371174242,84.22901837333008,0.4965568125922283,0.004672897196261682,0.004672897196261682,3.171219978226933,0.8089995384216309,1.1035926670010667,0.00019935140056380382,2,2,0.8835238814353943,,,,,0.260366822729664,
cubic,42,ACCRUE,Full,500,68.65260264706868,8191.669848103551,37.196215519187774,0.2413684210526316,0.368,0.468,8.324136534928876,2.1235435009002686,1.1035926670010667,0.00019935140056380382,2,2,0.8835238814353943,,,,,0.260366822729664,
cubic,43,Deep Ensembles,ID,286,1.3048778053011547,2.606622233702839,1.8031912367228071,0.027015090172984896,0.6398601398601399,0.9300699300699301,11.237598533424814,2.8667869567871094,2.3587981250020675,0.0007499916663315768,5,5,,2.607831167481271,2.8518178462982178,0.2435528188943863,,2.0482885480052855,17.619227641159718
cubic,43,Deep Ensembles,OOD,214,86.11722473380273,114.35320364216544,63.74823746875747,0.45204131824889326,0.06074766355140187,0.11214953271028037,23.017847029193362,5.872006893157959,2.3587981250020675,0.0007499916663315768,5,5,,333.84652609270347,3.102562427520752,4.291212558746338,,2.0482885480052855,17.619227641159718
cubic,43,Deep Ensembles,Full,500,56.34800302855824,50.43415907652484,28.315671024033648,0.20789473684210524,0.392,0.58,16.279544889613753,4.153021335601807,2.3587981250020675,0.0007499916663315768,5,5,,144.37799259547637,2.959136724472046,1.9759511947631836,,2.0482885480052855,17.619227641159718
cubic,43,ACCRUE,ID,286,1.4193018217741704,2.6505330094607213,1.830399520594545,0.034449760765550216,0.6503496503496503,0.9090909090909091,11.269479216140319,2.874920129776001,2.0879072500101756,0.00020349306578282267,2,2,0.8815004229545593,,,,,1.0285926966918773,
cubic,43,ACCRUE,OOD,214,98.67551105819312,489.5813745515925,76.76822342589574,0.4800787014264633,0.018691588785046728,0.0514018691588785,11.59170365275098,2.9571218490600586,2.0879072500101756,0.00020349306578282267,2,2,0.8815004229545593,,,,,1.0285926966918773,
cubic,43,ACCRUE,Full,500,64.56412952602376,211.0569331894931,33.903788152063456,0.2241052631578947,0.38,0.542,11.407391275009683,2.910102367401123,2.0879072500101756,0.00020349306578282267,2,2,0.8815004229545593,,,,,1.0285926966918773,
cubic,44,Deep Ensembles,ID,286,1.601389876075501,2.806208895298274,1.9024530824822528,0.021310268678689716,0.6923076923076923,0.9020979020979021,12.523839454583063,3.194915771484375,2.936640833999263,0.0008045235997997224,5,5,,2.8092104161893574,3.1827213764190674,0.25091269612312317,,1.2874671055773659,10.283010815830849
cubic,44,Deep Ensembles,OOD,214,92.84634706694737,173.598602296302,71.72640891570602,0.4741760944417117,0.028037383177570093,0.06074766355140187,16.12403110989344,4.113348960876465,2.936640833999263,0.0008045235997997224,5,5,,763.6744414203736,2.775059461593628,2.5801379680633545,,1.2874671055773659,10.283010815830849
cubic,44,Deep Ensembles,Full,500,60.753740355532685,75.90535327092786,31.787106179102025,0.21410526315789472,0.408,0.542,14.064721483055903,3.5880048274993896,2.936640833999263,0.0008045235997997224,5,5,,328.4595292859802,3.008242130279541,1.2478210926055908,,1.2874671055773659,10.283010815830849
cubic,44,ACCRUE,ID,286,1.7296326387300665,3.2123421893283965,1.9901044715228078,0.05852042694147955,0.6083916083916084,0.8671328671328671,11.45454807459683,2.9221322536468506,1.1209650000091642,0.00019497776714464028,2,2,0.8619377017021179,,,,,0.4847642981644314,
cubic,44,ACCRUE,OOD,214,97.85900914939714,3484.2902621560875,77.52468866473315,0.48548942449581906,0.018691588785046728,0.03271028037383177,5.552756236435881,1.4165453910827637,1.1209650000091642,0.00019497776714464028,2,2,0.8619377017021179,,,,,0.4847642981644314,
cubic,44,ACCRUE,Full,500,64.03439918757358,1493.1136919351013,34.31890650621683,0.24126315789473682,0.356,0.51,8.928581167863944,2.2777411937713623,1.1209650000091642,0.00019497776714464028,2,2,0.8619377017021179,,,,,0.4847642981644314,
cubic,45,Deep Ensembles,ID,286,2.0750693525754027,2.87578831950748,2.251682253011282,0.07673905042326093,0.5699300699300699,0.8741258741258742,12.305955906516772,3.1393320560455322,1.9185921250027604,0.000802861099752287,5,5,,2.8793012997168534,3.1141412258148193,0.3330252468585968,,2.2849659607848616,8.899569581491672
cubic,45,Deep Ensembles,OOD,214,100.82977760312116,126.86086587348136,77.28825427815451,0.4786030496802754,0.03271028037383177,0.0794392523364486,28.11869124078436,7.173266887664795,1.9185921250027604,0.000802861099752287,5,5,,104.54687538688597,6.476861476898193,2.9637813568115234,,2.2849659607848616,8.899569581491672
cubic,45,Deep Ensembles,Full,500,65.98322996164782,55.94140151260831,34.36733507977259,0.24873684210526312,0.34,0.534,19.0738066295833,4.865856647491455,1.9185921250027604,0.000802861099752287,5,5,,46.39302300902522,4.5533857345581055,1.4589887857437134,,2.2849659607848616,8.899569581491672
cubic,45,ACCRUE,ID,286,2.330380590625192,2.9063256055359803,2.3417472522781075,0.0949576739050423,0.548951048951049,0.8636363636363636,12.13480404602846,3.095670223236084,1.206966249999823,0.00020427083363756539,2,2,0.8663626313209534,,,,,1.3404764350961809,
cubic,45,ACCRUE,OOD,214,103.88947017836482,317.63339866483415,81.18748287511644,0.47786522380718144,0.028037383177570093,0.056074766355140186,16.26641850671939,4.149672985076904,1.206966249999823,0.00020427083363756539,2,2,0.8663626313209534,,,,,1.3404764350961809,
cubic,45,ACCRUE,Full,500,67.98911506499901,137.60951287491557,36.087722098852915,0.2588421052631579,0.326,0.518,13.90313503520418,3.546783208847046,1.206966249999823,0.00020427083363756539,2,2,0.8663626313209534,,,,,1.3404764350961809,
cubic,46,Deep Ensembles,ID,286,1.3973430935875952,2.7302291288009104,1.8278016583082026,0.07600294442399703,0.6083916083916084,0.8776223776223776,10.381197609893054,2.648313283920288,4.687466958013829,0.000810661132951888,5,5,,2.723918495594927,2.6448607444763184,0.1148165687918663,,0.9042666385543676,13.835406292327288
cubic,46,Deep Ensembles,OOD,214,90.3852521429094,604.6814613285351,70.13583690328369,0.485981308411215,0.02336448598130841,0.03271028037383177,9.387370627245794,2.3947813510894775,4.687466958013829,0.000810661132951888,5,5,,5083.901997308696,1.526108741760254,1.588533878326416,,0.9042666385543676,13.835406292327288
cubic,46,Deep Ensembles,Full,500,59.14101975152011,260.36535651028714,31.06364074315771,0.2514736842105263,0.358,0.516,9.955839661320027,2.539801836013794,4.687466958013829,0.000810661132951888,5,5,,2177.468136227602,2.1660351753234863,0.7455675601959229,,0.9042666385543676,13.835406292327288
cubic,46,ACCRUE,ID,286,1.5490690309683386,2.7425874730363526,1.8756492908685574,0.10563121089436878,0.5314685314685315,0.8531468531468531,9.6226888100165,2.454812526702881,1.8518215829972178,0.0002022583328653127,2,2,0.8826285600662231,,,,,0.7609197735481822,
cubic,46,ACCRUE,OOD,214,97.57996849183388,2172.835444052178,76.90795515038633,0.4877029021151008,0.014018691588785047,0.028037383177570093,7.322093856362074,1.867915391921997,1.8518215829972178,0.0002022583328653127,2,2,0.8826285600662231,,,,,0.7609197735481822,
cubic,46,ACCRUE,Full,500,63.84923247050562,931.5423300889089,33.98947619874216,0.2691578947368421,0.31,0.5,8.638034169852407,2.203620672225952,1.8518215829972178,0.0002022583328653127,2,2,0.8826285600662231,,,,,0.7609197735481822,
accrue_g,42,Deep Ensembles,ID,332,0.31611796394638025,1.2094332810887731,0.46132326409397395,0.04327837666455292,0.5843373493975904,0.9216867469879518,2.929852167186693,0.7474250197410583,1.7401677079906221,0.000833877799838471,5,5,,1.2170154208543607,0.7343454957008362,0.11720381677150726,0.06849991477549498,1.084399712242172,4.376929125799465
accrue_g,42,Deep Ensembles,OOD,168,1.8400657823914972,3.355230633758654,1.2954341777637104,0.3643483709273183,0.1488095238095238,0.4642857142857143,3.1771307336903,0.8105074763298035,1.7401677079906221,0.000833877799838471,5,5,,4.485836644666967,0.6050240993499756,0.512992799282074,0.2436585288589433,1.084399712242172,4.376929125799465
accrue_g,42,Deep Ensembles,Full,500,1.0972678964771896,1.9304211915858533,0.7415845310870054,0.1511578947368421,0.438,0.768,3.0129377655319054,0.7686207294464111,1.7401677079906221,0.000833877799838471,5,5,,2.315339352055396,0.6908934712409973,0.2501889169216156,0.15186767623723874,1.084399712242172,4.376929125799465
